request_id,context_id,question,seq_length,context_length,ttft_s,total_latency_s,response_length,response_preview
0,ServerlessLLM_summary,What is the motivation behind this research?,3140,3096,3.2092,4.1697,492,The motivation behind this research is to address the challenges faced by large language model (LLM) inference in server
1,ServerlessLLM_summary,What problem does this paper address?,3133,3096,0.042,1.3097,607,The paper addresses the problem of reducing latency and resource challenges in serverless inference of large language mo
2,ServerlessLLM_summary,What is the main contribution of this paper?,3140,3096,0.1273,0.5388,204,"The main contribution of this paper is the introduction of ServerlessLLM, a distributed system designed for low-latency "
3,SplitRPC-sigmetrics23,What are the practical implications of this work?,3556,3507,0.1857,1.2109,567,The practical implications of this work are significant for the ML inference serving domain. SplitRPC addresses the grow
4,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,3562,3507,0.0365,0.8447,425,"The authors mention that the traditional RPC mechanisms assume CPU-based execution, but ML inference workloads increasin"
5,SplitRPC-sigmetrics23,What methodology or approach is proposed?,3548,3507,0.1082,1.7292,820,"The methodology or approach proposed in the paper is the development of SplitRPC, a high-performance RPC stack designed "
6,aplomb-sigcomm12,What methodology or approach is proposed?,3474,3433,0.0985,1.4741,753,The methodology or approach proposed in this paper is cloud-based outsourcing of enterprise middlebox processing. Specif
7,aplomb-sigcomm12,Summarize the key findings in 2-3 sentences.,3477,3433,0.0504,0.6177,308,"The study found that enterprises have a high number of middleboxes, which incur high costs and require significant manag"
8,aplomb-sigcomm12,What are the practical implications of this work?,3482,3433,0.0558,1.0344,520,The practical implications of this work include reducing infrastructure costs and complexity for enterprises by outsourc
9,cacheblend,What problem does this paper address?,3715,3678,0.0957,1.7029,735,The problem this paper addresses is the slow and low-quality inference performance of large language models in the Retri
10,cacheblend,What is the motivation behind this research?,3722,3678,0.1125,1.4186,618,The motivation behind this research is to enable efficient reuse of precomputed key-value (KV) caches in Retrieval-Augme
11,cacheblend,What are the practical implications of this work?,3727,3678,0.0467,1.5214,750,The practical implications of this work are significant for large language model serving in retrieval-Augmented Generati
12,click,How does this paper relate to network systems or ML inference?,3182,3120,0.1579,0.7718,332,"The paper ""The Click Modular Router"" discusses the design and implementation of a software router that is modular and ex"
13,click,What future work do the authors suggest?,3160,3120,0.0397,0.2955,157,The authors suggest that future work could focus on several areas to further enhance Click's functionality and performan
14,click,What problem does this paper address?,3157,3120,0.0415,0.7083,397,The paper addresses the problem of building flexible and modular routers using software. It introduces the Click modular
15,metron-nsdi18,Explain the system architecture described in this paper.,3050,2994,0.1592,0.7873,319,The system architecture described in this paper is called Metron. It is an NFV platform that fully utilizes commodity se
16,metron-nsdi18,What datasets or benchmarks were used for evaluation?,3047,2994,0.0433,0.546,207,"The document mentions that Metron performs DPI at 40 Gbps and supports stateful service chains at 100 Gbps. However, it "
17,metron-nsdi18,What is the main contribution of this paper?,3038,2994,0.1179,1.3038,589,"The main contribution of this paper is the development of Metron, an NFV platform that fully utilizes commodity server a"
18,nsdi20-paper-barbette,What is the main contribution of this paper?,3113,3069,0.0714,0.9214,401,"The main contribution of this paper is the introduction of CHEETAH, a novel load balancer system that guarantees per-con"
19,nsdi20-paper-barbette,What problem does this paper address?,3106,3069,0.076,0.9116,410,The paper addresses the problem of achieving both uniform load distribution and per-connection-consistency (PCC) in a lo
20,nsdi20-paper-barbette,What methodology or approach is proposed?,3110,3069,0.0436,0.7399,337,The proposed methodology or approach is based on packet-embedded cookies. The load balancer CHEETAH stores mapping infor
21,nsdi22-paper-reda_1,What methodology or approach is proposed?,3708,3667,0.0881,0.7701,316,"The proposed methodology or approach is the RedN framework, which leverages self-modifying RDMA verbs to enable complex "
