request_id,context_id,question,token_length,context_tokens,ttft_s,total_latency_s,response_length,response_preview
0,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0539,0.1298,46,The authors suggest the following future work:
1,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.049,0.1466,55,The authors suggest future work in the following areas:
2,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0485,1.4252,748,"The authors suggest future work to further improve the performance and scalability of Llumnix. Specifically, they propos"
3,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0526,0.1966,65,The authors suggest future work to continue improving Llumnix by:
4,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0557,0.1538,55,The authors suggest future work in the following areas:
5,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0481,0.1461,57,The key performance metrics reported in the document are:
6,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0493,0.1473,57,The key performance metrics reported in the document are:
7,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0487,0.147,61,The key performance metrics reported in the document include:
8,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0489,0.1465,57,The key performance metrics reported in the document are:
9,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0538,0.1529,57,The key performance metrics reported in the document are:
10,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0474,0.4961,205,"The methodology proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is based on the con"
11,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0511,0.5284,235,"The methodology proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" involves a live mig"
12,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0496,1.3389,676,"The methodology or approach proposed in ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is a dynamic sche"
13,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.047,1.1595,589,The methodology proposed in the document is dynamic scheduling for large language model (LLM) inference using a system c
14,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0519,1.0505,427,"The methodology proposed in the paper is the Llumnix system, which is a dynamic scheduling system for large language mod"
15,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0486,1.1511,551,The authors mention several limitations in their work. One of the main limitations is that the existing SmartNIC-based s
16,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0613,0.7616,382,"The authors mention that the traditional RPC mechanisms assume CPU-based execution, which can be a limitation for ML inf"
17,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0454,0.4658,230,The authors mention that the shrinking execution time of ML models exposes the RPC overhead as a major performance bottl
